InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538149,DOT,DOTCOM POSTAGE,1,2010-12-09 16:27:00,620.68,,United Kingdom
538153,DOT,DOTCOM POSTAGE,1,2010-12-09 16:31:00,822.94,,United Kingdom
538177,DOT,DOTCOM POSTAGE,1,2010-12-10 09:51:00,847.42,,United Kingdom
538349,DOT,DOTCOM POSTAGE,1,2010-12-10 14:59:00,907.47,,United Kingdom
538524,DOT,DOTCOM POSTAGE,1,2010-12-13 09:35:00,641.86,,United Kingdom
538566,DOT,DOTCOM POSTAGE,1,2010-12-13 11:21:00,584.59,,United Kingdom
C538680,BANK CHARGES,Bank Charges,-1,2010-12-13 17:10:00,966.92,,United Kingdom
C538682,M,Manual,-1,2010-12-13 17:14:00,1130.9,,United Kingdom
539434,DOT,DOTCOM POSTAGE,1,2010-12-17 14:41:00,510.79,,United Kingdom
539436,DOT,DOTCOM POSTAGE,1,2010-12-17 14:49:00,565.37,,United Kingdom
539437,DOT,DOTCOM POSTAGE,1,2010-12-17 14:54:00,803.55,,United Kingdom
539451,DOT,DOTCOM POSTAGE,1,2010-12-17 16:59:00,662.14,,United Kingdom
539453,DOT,DOTCOM POSTAGE,1,2010-12-17 17:08:00,603.62,,United Kingdom
539737,DOT,DOTCOM POSTAGE,1,2010-12-21 15:19:00,514.0,,United Kingdom
539738,DOT,DOTCOM POSTAGE,1,2010-12-21 15:19:00,549.79,,United Kingdom
539856,M,Manual,1,2010-12-22 14:41:00,1298.4,,United Kingdom
539958,DOT,DOTCOM POSTAGE,1,2010-12-23 13:26:00,627.47,,United Kingdom
C540117,AMAZONFEE,AMAZON FEE,-1,2011-01-05 09:55:00,16888.02,,United Kingdom
C540118,AMAZONFEE,AMAZON FEE,-1,2011-01-05 09:57:00,16453.71,,United Kingdom
C540271,M,Manual,-1,2011-01-06 11:51:00,1126.0,12503.0,Spain
540551,DOT,DOTCOM POSTAGE,1,2011-01-10 09:43:00,557.0,,United Kingdom
C541650,M,Manual,-1,2011-01-20 11:44:00,544.4,,United Kingdom
C541651,M,Manual,-1,2011-01-20 11:48:00,1283.8,,United Kingdom
C541653,BANK CHARGES,Bank Charges,-1,2011-01-20 11:50:00,1050.15,,United Kingdom
C542348,M,Manual,-1,2011-01-27 12:09:00,1715.85,12539.0,Spain
C543789,M,Manual,-1,2011-02-11 17:10:00,856.48,17450.0,United Kingdom
C544047,M,Manual,-1,2011-02-15 12:36:00,1435.79,,United Kingdom
C544049,BANK CHARGES,Bank Charges,-1,2011-02-15 12:39:00,566.37,,United Kingdom
C544054,M,Manual,-1,2011-02-15 12:41:00,869.55,,United Kingdom
C544587,AMAZONFEE,AMAZON FEE,-1,2011-02-21 15:07:00,5575.28,,United Kingdom
C544589,AMAZONFEE,AMAZON FEE,-1,2011-02-21 15:11:00,5258.77,,United Kingdom
545176,M,Manual,1,2011-02-28 14:19:00,764.12,,United Kingdom
C545884,M,Manual,-1,2011-03-07 15:49:00,537.83,,United Kingdom
C546325,M,Manual,-1,2011-03-11 10:15:00,1687.17,14911.0,EIRE
C546327,M,Manual,-1,2011-03-11 10:18:00,1687.17,14911.0,EIRE
546328,M,Manual,1,2011-03-11 10:19:00,1687.17,14911.0,EIRE
546329,M,Manual,1,2011-03-11 10:22:00,1687.17,14911.0,EIRE
C546557,M,Manual,-1,2011-03-15 09:44:00,2583.76,,Hong Kong
546558,M,Manual,1,2011-03-15 09:50:00,2583.76,,Hong Kong
C546987,AMAZONFEE,AMAZON FEE,-1,2011-03-18 12:56:00,5693.05,,United Kingdom
C546989,AMAZONFEE,AMAZON FEE,-1,2011-03-18 12:59:00,5225.03,,United Kingdom
C547899,M,Manual,-1,2011-03-28 11:51:00,1486.12,,United Kingdom
C547908,M,Manual,-1,2011-03-28 12:18:00,646.46,,United Kingdom
548813,M,Manual,1,2011-04-04 13:03:00,2382.92,12744.0,Singapore
548813,M,Manual,1,2011-04-04 13:03:00,1252.95,12744.0,Singapore
548820,M,Manual,1,2011-04-04 13:04:00,2053.07,12744.0,Singapore
C548830,M,Manual,-1,2011-04-04 13:08:00,2382.92,12744.0,Singapore
C548830,M,Manual,-1,2011-04-04 13:08:00,1252.95,12744.0,Singapore
C548834,M,Manual,-1,2011-04-04 13:09:00,2053.07,12744.0,Singapore
548913,M,Manual,1,2011-04-05 09:45:00,1136.3,12669.0,France
C548914,M,Manual,-1,2011-04-05 09:46:00,1136.3,12669.0,France
C549452,D,Discount,-1,2011-04-08 14:17:00,1867.86,17940.0,United Kingdom
549468,M,Manual,1,2011-04-08 14:27:00,1867.86,17940.0,United Kingdom
C550933,M,Manual,-1,2011-04-21 15:13:00,678.03,,United Kingdom
C551685,POST,POSTAGE,-1,2011-05-03 12:51:00,8142.75,16029.0,United Kingdom
551697,POST,POSTAGE,1,2011-05-03 13:46:00,8142.75,16029.0,United Kingdom
C551699,M,Manual,-1,2011-05-03 14:12:00,6930.0,16029.0,United Kingdom
C552455,M,Manual,-1,2011-05-09 14:38:00,587.08,,United Kingdom
C552459,M,Manual,-1,2011-05-09 14:44:00,598.59,,United Kingdom
C552876,M,Manual,-1,2011-05-12 09:48:00,929.9,13235.0,United Kingdom
552980,POST,POSTAGE,1,2011-05-12 14:52:00,523.0,12590.0,Germany
553018,M,Manual,1,2011-05-12 19:02:00,557.72,12757.0,Portugal
C553019,M,Manual,-1,2011-05-12 19:04:00,557.72,12757.0,Portugal
C553354,AMAZONFEE,AMAZON FEE,-1,2011-05-16 13:54:00,5876.4,,United Kingdom
C553355,AMAZONFEE,AMAZON FEE,-1,2011-05-16 13:58:00,7006.83,,United Kingdom
C554154,M,Manual,-1,2011-05-23 11:24:00,1241.98,12757.0,Portugal
554155,M,Manual,1,2011-05-23 11:26:00,1241.98,12757.0,Portugal
554301,M,Manual,1,2011-05-23 14:46:00,1241.98,12757.0,Portugal
C554302,M,Manual,-1,2011-05-23 14:50:00,1241.98,12757.0,Portugal
554305,M,Manual,1,2011-05-23 14:58:00,557.72,12757.0,Portugal
C554308,M,Manual,-1,2011-05-23 15:00:00,557.72,12757.0,Portugal
C556274,M,Manual,-1,2011-06-09 19:46:00,600.0,15299.0,United Kingdom
556444,22502,PICNIC BASKET WICKER 60 PIECES,60,2011-06-10 15:28:00,649.5,15098.0,United Kingdom
C556445,M,Manual,-1,2011-06-10 15:31:00,38970.0,15098.0,United Kingdom
556446,22502,PICNIC BASKET WICKER 60 PIECES,1,2011-06-10 15:33:00,649.5,15098.0,United Kingdom
C556875,M,Manual,-1,2011-06-15 11:51:00,702.38,,United Kingdom
557377,M,Manual,1,2011-06-20 11:00:00,1917.0,,EIRE
557377,M,Manual,1,2011-06-20 11:00:00,1216.12,,EIRE
C557381,M,Manual,-1,2011-06-20 11:01:00,1216.12,,EIRE
C557387,M,Manual,-1,2011-06-20 11:02:00,1917.0,,EIRE
C557638,POST,POSTAGE,-1,2011-06-21 16:01:00,545.58,17450.0,United Kingdom
557754,POST,POSTAGE,1,2011-06-22 13:12:00,700.0,12432.0,Norway
C558036,AMAZONFEE,AMAZON FEE,-1,2011-06-24 12:31:00,5791.18,,United Kingdom
C558037,AMAZONFEE,AMAZON FEE,-1,2011-06-24 12:33:00,4534.24,,United Kingdom
558047,M,Manual,1,2011-06-24 13:51:00,542.2,,EIRE
C558048,M,Manual,-1,2011-06-24 13:52:00,542.2,,EIRE
C558359,S,SAMPLES,-1,2011-06-28 15:10:00,570.0,,United Kingdom
558381,M,Manual,1,2011-06-28 17:01:00,600.0,15299.0,United Kingdom
558475,DOT,DOTCOM POSTAGE,1,2011-06-29 15:58:00,858.46,,United Kingdom
559052,DOT,DOTCOM POSTAGE,1,2011-07-05 16:53:00,576.18,,United Kingdom
559055,DOT,DOTCOM POSTAGE,1,2011-07-05 17:09:00,531.65,,United Kingdom
C559915,AMAZONFEE,AMAZON FEE,-1,2011-07-13 15:18:00,4383.62,,United Kingdom
C559917,AMAZONFEE,AMAZON FEE,-1,2011-07-13 15:21:00,6497.47,,United Kingdom
560187,POST,POSTAGE,1,2011-07-15 12:05:00,550.94,17444.0,Canada
C560372,M,Manual,-1,2011-07-18 12:26:00,4287.63,17448.0,United Kingdom
560373,M,Manual,1,2011-07-18 12:30:00,4287.63,,United Kingdom
C560408,M,Manual,-1,2011-07-18 14:24:00,550.64,13564.0,United Kingdom
560411,M,Manual,1,2011-07-18 14:29:00,550.64,,United Kingdom
560413,M,Manual,1,2011-07-18 14:33:00,550.64,13564.0,United Kingdom
C560414,M,Manual,-1,2011-07-18 14:35:00,550.64,13564.0,United Kingdom
C560418,M,Manual,-1,2011-07-18 15:01:00,717.23,17809.0,United Kingdom
560419,M,Manual,1,2011-07-18 15:03:00,717.23,,United Kingdom
C560420,M,Manual,-1,2011-07-18 15:11:00,1592.49,15369.0,United Kingdom
560421,M,Manual,1,2011-07-18 15:13:00,1592.49,,United Kingdom
C560430,M,Manual,-1,2011-07-18 15:21:00,611.86,13154.0,United Kingdom
560431,M,Manual,1,2011-07-18 15:23:00,611.86,,United Kingdom
C560436,M,Manual,-1,2011-07-18 16:04:00,705.45,17603.0,United Kingdom
560439,M,Manual,1,2011-07-18 16:08:00,705.45,,United Kingdom
C560647,M,Manual,-1,2011-07-20 11:31:00,3060.6,18102.0,United Kingdom
C560822,M,Manual,-1,2011-07-21 11:20:00,770.26,,United Kingdom
C562062,AMAZONFEE,AMAZON FEE,-1,2011-08-02 12:17:00,4575.64,,United Kingdom
C562086,AMAZONFEE,AMAZON FEE,-1,2011-08-02 12:27:00,6721.37,,United Kingdom
C562647,M,Manual,-1,2011-08-08 12:56:00,3155.95,15502.0,United Kingdom
C562938,M,Manual,-1,2011-08-10 17:14:00,1121.18,14156.0,EIRE
562946,M,Manual,1,2011-08-11 09:38:00,2500.0,15581.0,United Kingdom
562955,DOT,DOTCOM POSTAGE,1,2011-08-11 10:14:00,4505.17,,United Kingdom
A563185,B,Adjust bad debt,1,2011-08-12 14:50:00,11062.06,,United Kingdom
C563535,BANK CHARGES,Bank Charges,-1,2011-08-17 11:38:00,612.46,,United Kingdom
C563537,M,Manual,-1,2011-08-17 11:40:00,793.32,,United Kingdom
563549,DOT,DOTCOM POSTAGE,1,2011-08-17 12:34:00,1154.67,,United Kingdom
564221,DOT,DOTCOM POSTAGE,1,2011-08-24 09:36:00,1325.0,,United Kingdom
C564340,AMAZONFEE,AMAZON FEE,-1,2011-08-24 14:50:00,4527.65,,United Kingdom
C564341,AMAZONFEE,AMAZON FEE,-1,2011-08-24 14:53:00,6662.51,,United Kingdom
564857,DOT,DOTCOM POSTAGE,1,2011-08-31 09:23:00,877.04,,United Kingdom
565377,M,Manual,1,2011-09-02 15:12:00,852.8,18087.0,United Kingdom
565847,DOT,DOTCOM POSTAGE,1,2011-09-07 12:44:00,1569.04,,United Kingdom
566787,DOT,DOTCOM POSTAGE,1,2011-09-15 10:31:00,800.63,,United Kingdom
C566889,AMAZONFEE,AMAZON FEE,-1,2011-09-15 13:50:00,5522.14,,United Kingdom
C566899,AMAZONFEE,AMAZON FEE,-1,2011-09-15 13:53:00,7427.97,,United Kingdom
C566925,M,Manual,-1,2011-09-15 15:18:00,1829.84,12748.0,United Kingdom
566927,M,Manual,1,2011-09-15 15:20:00,2033.1,17846.0,United Kingdom
566985,DOT,DOTCOM POSTAGE,1,2011-09-16 10:42:00,594.0,,United Kingdom
C567130,M,Manual,-1,2011-09-16 14:11:00,1039.73,,United Kingdom
C567352,M,Manual,-1,2011-09-19 16:13:00,2653.95,,Hong Kong
567353,M,Manual,1,2011-09-19 16:14:00,2653.95,,Hong Kong
567507,DOT,DOTCOM POSTAGE,1,2011-09-20 14:46:00,1092.21,,United Kingdom
567656,DOT,DOTCOM POSTAGE,1,2011-09-21 14:40:00,878.55,14096.0,United Kingdom
C567655,CRUK,CRUK Commission,-1,2011-09-21 14:40:00,608.66,14096.0,United Kingdom
568057,DOT,DOTCOM POSTAGE,1,2011-09-23 12:56:00,698.5,,United Kingdom
568346,DOT,DOTCOM POSTAGE,1,2011-09-26 15:28:00,688.08,14096.0,United Kingdom
568411,DOT,DOTCOM POSTAGE,1,2011-09-27 10:52:00,837.46,,United Kingdom
569137,DOT,DOTCOM POSTAGE,1,2011-09-30 14:45:00,639.83,,United Kingdom
569382,M,Manual,1,2011-10-03 16:44:00,3155.95,15502.0,United Kingdom
C570025,AMAZONFEE,AMAZON FEE,-1,2011-10-07 10:29:00,5942.57,,United Kingdom
570258,DOT,DOTCOM POSTAGE,1,2011-10-10 09:56:00,930.04,,United Kingdom
C570301,M,Manual,-1,2011-10-10 12:04:00,682.05,16900.0,United Kingdom
C570453,M,Manual,-1,2011-10-10 15:19:00,821.9,,United Kingdom
570488,DOT,DOTCOM POSTAGE,1,2011-10-10 17:12:00,635.01,14096.0,United Kingdom
571061,DOT,DOTCOM POSTAGE,1,2011-10-13 14:33:00,852.25,,United Kingdom
C571220,M,Manual,-1,2011-10-14 13:35:00,599.5,13810.0,Germany
571223,M,Manual,1,2011-10-14 13:36:00,599.5,13810.0,Germany
571305,DOT,DOTCOM POSTAGE,1,2011-10-17 09:55:00,657.29,,United Kingdom
571441,DOT,DOTCOM POSTAGE,1,2011-10-17 13:31:00,743.62,14096.0,United Kingdom
C571750,M,Manual,-1,2011-10-19 11:16:00,3949.32,12744.0,Singapore
C571750,M,Manual,-1,2011-10-19 11:16:00,2118.74,12744.0,Singapore
571751,M,Manual,1,2011-10-19 11:18:00,3949.32,12744.0,Singapore
571751,M,Manual,1,2011-10-19 11:18:00,2118.74,12744.0,Singapore
571797,DOT,DOTCOM POSTAGE,1,2011-10-19 11:41:00,868.21,,United Kingdom
572540,DOT,DOTCOM POSTAGE,1,2011-10-24 16:17:00,743.96,,United Kingdom
572552,DOT,DOTCOM POSTAGE,1,2011-10-24 17:07:00,638.3,14096.0,United Kingdom
572897,DOT,DOTCOM POSTAGE,1,2011-10-26 14:42:00,1016.58,,United Kingdom
573077,M,Manual,1,2011-10-27 14:13:00,4161.06,12536.0,France
C573079,M,Manual,-2,2011-10-27 14:15:00,4161.06,12536.0,France
573080,M,Manual,1,2011-10-27 14:20:00,4161.06,12536.0,France
C573268,M,Manual,-1,2011-10-28 12:50:00,907.0,12748.0,United Kingdom
C573549,AMAZONFEE,AMAZON FEE,-1,2011-10-31 13:23:00,5942.57,,United Kingdom
C573550,AMAZONFEE,AMAZON FEE,-1,2011-10-31 13:32:00,2185.04,,United Kingdom
573553,DOT,DOTCOM POSTAGE,1,2011-10-31 13:48:00,757.63,,United Kingdom
573576,DOT,DOTCOM POSTAGE,1,2011-10-31 14:09:00,901.58,14096.0,United Kingdom
C573575,CRUK,CRUK Commission,-1,2011-10-31 14:09:00,606.0,14096.0,United Kingdom
573585,DOT,DOTCOM POSTAGE,1,2011-10-31 14:41:00,2019.05,,United Kingdom
573601,DOT,DOTCOM POSTAGE,1,2011-10-31 15:24:00,511.25,,United Kingdom
574856,DOT,DOTCOM POSTAGE,1,2011-11-07 12:06:00,1126.29,,United Kingdom
C574897,AMAZONFEE,AMAZON FEE,-1,2011-11-07 15:03:00,5877.18,,United Kingdom
C574902,AMAZONFEE,AMAZON FEE,-1,2011-11-07 15:21:00,8286.22,,United Kingdom
575138,DOT,DOTCOM POSTAGE,1,2011-11-08 15:24:00,1483.21,,United Kingdom
575477,DOT,DOTCOM POSTAGE,1,2011-11-09 16:14:00,533.59,,United Kingdom
575607,DOT,DOTCOM POSTAGE,1,2011-11-10 12:37:00,908.16,14096.0,United Kingdom
C575606,CRUK,CRUK Commission,-1,2011-11-10 12:37:00,517.51,14096.0,United Kingdom
575632,M,Manual,1,2011-11-10 13:44:00,549.34,12473.0,Germany
C575635,M,Manual,-1,2011-11-10 13:45:00,549.34,12473.0,Germany
575875,DOT,DOTCOM POSTAGE,1,2011-11-11 13:06:00,571.9,,United Kingdom
575947,DOT,DOTCOM POSTAGE,1,2011-11-13 11:50:00,1211.17,,United Kingdom
576329,DOT,DOTCOM POSTAGE,1,2011-11-14 15:22:00,518.98,,United Kingdom
576339,DOT,DOTCOM POSTAGE,1,2011-11-14 15:27:00,1500.36,14096.0,United Kingdom
C576338,CRUK,CRUK Commission,-1,2011-11-14 15:27:00,1038.75,14096.0,United Kingdom
576389,M,Manual,1,2011-11-15 10:05:00,850.5,12748.0,United Kingdom
576617,DOT,DOTCOM POSTAGE,1,2011-11-15 16:57:00,596.9,,United Kingdom
576618,DOT,DOTCOM POSTAGE,1,2011-11-15 17:00:00,584.94,,United Kingdom
576644,DOT,DOTCOM POSTAGE,1,2011-11-16 10:01:00,1556.08,,United Kingdom
576837,DOT,DOTCOM POSTAGE,1,2011-11-16 15:16:00,710.95,,United Kingdom
576840,DOT,DOTCOM POSTAGE,1,2011-11-16 15:23:00,690.21,,United Kingdom
577078,DOT,DOTCOM POSTAGE,1,2011-11-17 15:17:00,695.08,,United Kingdom
C577346,M,Manual,-1,2011-11-18 15:25:00,530.25,,United Kingdom
C577348,M,Manual,-1,2011-11-18 15:30:00,1149.98,,United Kingdom
577358,DOT,DOTCOM POSTAGE,1,2011-11-18 15:59:00,579.21,,United Kingdom
577531,DOT,DOTCOM POSTAGE,1,2011-11-20 13:58:00,1236.75,,United Kingdom
577768,DOT,DOTCOM POSTAGE,1,2011-11-21 15:18:00,523.77,,United Kingdom
578149,DOT,DOTCOM POSTAGE,1,2011-11-23 11:11:00,2275.54,,United Kingdom
578270,DOT,DOTCOM POSTAGE,1,2011-11-23 13:39:00,1270.06,14096.0,United Kingdom
C578269,CRUK,CRUK Commission,-1,2011-11-23 13:39:00,849.93,14096.0,United Kingdom
578344,DOT,DOTCOM POSTAGE,1,2011-11-24 09:21:00,793.33,,United Kingdom
578347,DOT,DOTCOM POSTAGE,1,2011-11-24 09:26:00,644.28,,United Kingdom
578827,DOT,DOTCOM POSTAGE,1,2011-11-25 14:25:00,634.39,,United Kingdom
578833,DOT,DOTCOM POSTAGE,1,2011-11-25 15:23:00,2028.25,,United Kingdom
578844,DOT,DOTCOM POSTAGE,1,2011-11-25 16:14:00,545.25,,United Kingdom
579187,DOT,DOTCOM POSTAGE,1,2011-11-28 15:31:00,634.54,,United Kingdom
579196,DOT,DOTCOM POSTAGE,1,2011-11-28 15:54:00,1526.76,14096.0,United Kingdom
C579195,CRUK,CRUK Commission,-1,2011-11-28 15:54:00,987.14,14096.0,United Kingdom
579297,DOT,DOTCOM POSTAGE,1,2011-11-29 11:23:00,1563.0,,United Kingdom
579471,DOT,DOTCOM POSTAGE,1,2011-11-29 15:08:00,892.5,,United Kingdom
579508,DOT,DOTCOM POSTAGE,1,2011-11-29 16:33:00,732.69,,United Kingdom
579512,DOT,DOTCOM POSTAGE,1,2011-11-29 16:47:00,620.22,,United Kingdom
579694,DOT,DOTCOM POSTAGE,1,2011-11-30 14:11:00,1119.63,,United Kingdom
579777,DOT,DOTCOM POSTAGE,1,2011-11-30 15:13:00,888.42,,United Kingdom
579787,DOT,DOTCOM POSTAGE,1,2011-11-30 15:33:00,988.0,,United Kingdom
580115,DOT,DOTCOM POSTAGE,1,2011-12-01 16:22:00,1042.84,,United Kingdom
580367,DOT,DOTCOM POSTAGE,1,2011-12-02 16:39:00,888.06,,United Kingdom
C580604,AMAZONFEE,AMAZON FEE,-1,2011-12-05 11:35:00,11586.5,,United Kingdom
C580605,AMAZONFEE,AMAZON FEE,-1,2011-12-05 11:36:00,17836.46,,United Kingdom
580610,DOT,DOTCOM POSTAGE,1,2011-12-05 11:48:00,2196.67,,United Kingdom
580612,DOT,DOTCOM POSTAGE,1,2011-12-05 11:58:00,2114.0,,United Kingdom
580727,DOT,DOTCOM POSTAGE,1,2011-12-05 17:17:00,1599.26,14096.0,United Kingdom
C580726,CRUK,CRUK Commission,-1,2011-12-05 17:17:00,1100.44,14096.0,United Kingdom
580729,DOT,DOTCOM POSTAGE,1,2011-12-05 17:24:00,1172.1,,United Kingdom
580730,DOT,DOTCOM POSTAGE,1,2011-12-05 17:28:00,845.23,,United Kingdom
580983,DOT,DOTCOM POSTAGE,1,2011-12-06 16:26:00,736.38,,United Kingdom
581023,DOT,DOTCOM POSTAGE,1,2011-12-07 10:35:00,1861.46,,United Kingdom
581217,DOT,DOTCOM POSTAGE,1,2011-12-08 09:20:00,863.8,,United Kingdom
581219,DOT,DOTCOM POSTAGE,1,2011-12-08 09:28:00,1008.96,,United Kingdom
581238,DOT,DOTCOM POSTAGE,1,2011-12-08 10:53:00,1683.75,,United Kingdom
581439,DOT,DOTCOM POSTAGE,1,2011-12-08 16:30:00,938.59,,United Kingdom
581492,DOT,DOTCOM POSTAGE,1,2011-12-09 10:03:00,933.17,,United Kingdom
581498,DOT,DOTCOM POSTAGE,1,2011-12-09 10:26:00,1714.17,,United Kingdom
